Dex,Pokemon,Moves,Levels
254,sceptile,"pound, megapunch, thunderpunch, swordsdance, cut, slam, megakick, bodyslam, takedown, doubleedge, leer, roar, hyperbeam, lowkick, strength, absorb, megadrain, solarbeam, earthquake, dig, toxic, agility, quickattack, screech, doubleteam, swift, flash, rest, rockslide, substitute, thief, snore, protect, detect, outrage, gigadrain, endure, falseswipe, swagger, furycutter, attract, sleeptalk, return, frustration, safeguard, pursuit, irontail, hiddenpower, sunnyday, crunch, rocksmash, facade, focuspunch, naturepower, helpinghand, brickbreak, endeavor, secretpower, rocktomb, bulletseed, aerialace, dragonclaw, frenzyplant, magicalleaf, leafblade, dragondance, naturalgift, assurance, fling, nightslash, seedbomb, xscissor, dragonpulse, drainpunch, vacuumwave, focusblast, energyball, gigaimpact, rockclimb, leafstorm, crosspoison, captivate, grassknot, honeclaws, lowsweep, round, quickguard, acrobatics, grasspledge, bulldoze, dragontail, workup, dualchop, grassyterrain, confide, poweruppunch, solarblade, leafage, throatchop, brutalswing, breakingswipe, scaleshot, grassyglide, terablast, trailblaze, dragoncheer, upperhand","1, 101, 101, 101, 101, 43, 101, 101, 101, 101, 1, 101, 101, 101, 101, 1, 13, 101, 101, 101, 101, 35, 1, 23, 101, 101, 101, 101, 101, 101, 101, 101, 101, 51, 101, 101, 101, 59, 101, 16, 101, 101, 101, 101, 101, 17, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 56, 101, 101, 101, 101, 101, 101, 101, 29, 101, 101, 20, 101, 1, 101, 16, 101, 101, 101, 101, 101, 101, 101, 67, 101, 101, 101, 101, 101, 101, 57, 101, 101, 101, 101, 101, 36, 101, 101, 101, 101, 1, 101, 101, 101, 101, 101, 101, 101, 101, 101"
255,torchic,"megapunch, scratch, swordsdance, cut, megakick, sandattack, bodyslam, takedown, doubleedge, growl, ember, flamethrower, peck, lowkick, strength, firespin, dig, toxic, agility, quickattack, doubleteam, focusenergy, mirrormove, fireblast, swift, rest, rockslide, slash, substitute, snore, curse, reversal, protect, detect, endure, swagger, attract, sleeptalk, return, frustration, batonpass, hiddenpower, sunnyday, rocksmash, uproar, heatwave, willowisp, facade, helpinghand, secretpower, featherdance, overheat, rocktomb, aerialace, bounce, naturalgift, assurance, flareblitz, shadowclaw, captivate, honeclaws, flameburst, flamecharge, round, echoedvoice, incinerate, firepledge, workup, confide, terablast, temperflare","101, 1, 101, 101, 101, 19, 101, 101, 101, 1, 10, 43, 16, 101, 101, 25, 101, 101, 101, 28, 101, 7, 37, 101, 101, 101, 101, 34, 101, 101, 101, 36, 101, 12, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 33, 101, 101, 101, 24, 101, 101, 39, 101, 101, 101, 28, 101, 101, 101, 101, 101, 101, 101, 101, 101"
256,combusken,"megapunch, firepunch, thunderpunch, scratch, swordsdance, cut, doublekick, megakick, sandattack, bodyslam, takedown, doubleedge, growl, ember, flamethrower, peck, lowkick, strength, firespin, dig, toxic, agility, quickattack, doubleteam, focusenergy, mirrormove, fireblast, swift, rest, rockslide, slash, substitute, thief, snore, curse, reversal, protect, detect, endure, swagger, attract, sleeptalk, return, frustration, batonpass, hiddenpower, sunnyday, rocksmash, uproar, heatwave, willowisp, facade, focuspunch, helpinghand, revenge, brickbreak, secretpower, featherdance, blazekick, overheat, rocktomb, skyuppercut, aerialace, bulkup, bounce, naturalgift, closecombat, assurance, fling, flareblitz, poisonjab, vacuumwave, focusblast, shadowclaw, captivate, honeclaws, flamecharge, lowsweep, round, echoedvoice, incinerate, firepledge, workup, confide, poweruppunch, coaching, terablast, temperflare","101, 101, 101, 1, 101, 101, 16, 101, 21, 101, 101, 101, 1, 1, 101, 17, 101, 101, 101, 101, 101, 101, 32, 101, 1, 43, 101, 101, 101, 101, 39, 101, 101, 101, 101, 50, 101, 12, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 1, 40, 101, 101, 50, 101, 28, 30, 101, 101, 101, 101, 54, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101"
257,blaziken,"megapunch, firepunch, thunderpunch, scratch, swordsdance, cut, doublekick, megakick, sandattack, bodyslam, takedown, doubleedge, growl, roar, ember, flamethrower, hyperbeam, peck, lowkick, strength, solarbeam, firespin, earthquake, dig, toxic, agility, quickattack, doubleteam, focusenergy, mirrormove, fireblast, swift, highjumpkick, rest, rockslide, slash, substitute, thief, snore, curse, reversal, protect, mudslap, detect, endure, swagger, attract, sleeptalk, return, frustration, batonpass, hiddenpower, sunnyday, rocksmash, uproar, heatwave, willowisp, facade, focuspunch, helpinghand, superpower, revenge, brickbreak, knockoff, secretpower, featherdance, blazekick, blastburn, overheat, rocktomb, skyuppercut, aerialace, bulkup, bounce, naturalgift, uturn, closecombat, assurance, fling, flareblitz, aurasphere, poisonjab, vacuumwave, focusblast, bravebird, gigaimpact, shadowclaw, rockclimb, stoneedge, captivate, honeclaws, flamecharge, lowsweep, round, echoedvoice, incinerate, acrobatics, firepledge, bulldoze, workup, heatcrash, confide, poweruppunch, coaching, scorchingsands, terablast, temperflare, upperhand","101, 1, 101, 1, 101, 101, 16, 101, 21, 101, 101, 101, 1, 101, 1, 101, 101, 17, 101, 101, 101, 101, 101, 101, 101, 101, 32, 101, 1, 49, 101, 101, 1, 101, 101, 42, 101, 101, 101, 101, 56, 101, 101, 12, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 1, 36, 101, 101, 101, 59, 101, 28, 30, 101, 101, 101, 101, 101, 66, 101, 101, 101, 101, 49, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101"
258,mudkip,"tackle, bodyslam, takedown, doubleedge, growl, roar, supersonic, watergun, hydropump, surf, icebeam, blizzard, lowkick, strength, rockthrow, dig, toxic, screech, doubleteam, bide, waterfall, amnesia, rest, rockslide, substitute, snore, curse, protect, mudslap, foresight, icywind, endure, swagger, attract, sleeptalk, return, frustration, irontail, hiddenpower, raindance, rocksmash, whirlpool, uproar, hail, facade, superpower, endeavor, secretpower, dive, mudsport, rocktomb, muddywater, mudshot, waterpulse, naturalgift, earthpower, avalanche, captivate, sludgewave, round, echoedvoice, scald, waterpledge, workup, confide, liquidation, terablast, chillingwater","1, 101, 28, 101, 1, 101, 15, 10, 42, 101, 101, 101, 101, 101, 25, 101, 101, 33, 101, 15, 101, 27, 101, 101, 101, 101, 101, 37, 6, 19, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 33, 101, 101, 101, 101, 46, 101, 101, 24, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101"
259,marshtomp,"megapunch, icepunch, megakick, tackle, bodyslam, takedown, doubleedge, growl, roar, supersonic, watergun, hydropump, surf, icebeam, blizzard, lowkick, strength, rockthrow, earthquake, dig, toxic, screech, doubleteam, bide, waterfall, amnesia, rest, rockslide, substitute, snore, curse, protect, mudslap, foresight, icywind, endure, swagger, attract, sleeptalk, return, frustration, irontail, hiddenpower, raindance, rocksmash, whirlpool, uproar, hail, facade, focuspunch, helpinghand, superpower, brickbreak, endeavor, secretpower, dive, mudsport, rocktomb, sandtomb, muddywater, mudshot, waterpulse, naturalgift, fling, earthpower, avalanche, mudbomb, captivate, stealthrock, sludgewave, round, echoedvoice, scald, waterpledge, bulldoze, workup, confide, poweruppunch, liquidation, terablast, chillingwater","101, 101, 101, 1, 101, 31, 101, 1, 101, 15, 1, 55, 101, 101, 101, 101, 101, 9, 46, 101, 101, 45, 101, 15, 101, 35, 101, 101, 101, 101, 101, 42, 1, 20, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 53, 101, 101, 25, 101, 101, 37, 16, 101, 101, 101, 101, 101, 25, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101"
260,swampert,"megapunch, icepunch, megakick, tackle, bodyslam, takedown, doubleedge, growl, roar, supersonic, watergun, hydropump, surf, icebeam, blizzard, hyperbeam, lowkick, strength, rockthrow, earthquake, dig, toxic, screech, doubleteam, bide, waterfall, amnesia, rest, rockslide, substitute, snore, curse, protect, scaryface, mudslap, foresight, icywind, outrage, endure, swagger, attract, sleeptalk, return, frustration, irontail, hiddenpower, raindance, rocksmash, whirlpool, uproar, hail, facade, focuspunch, helpinghand, superpower, brickbreak, knockoff, endeavor, secretpower, dive, mudsport, hydrocannon, weatherball, rocktomb, sandtomb, muddywater, bulkup, mudshot, waterpulse, hammerarm, naturalgift, fling, poisonjab, focusblast, earthpower, gigaimpact, avalanche, mudbomb, rockclimb, stoneedge, captivate, stealthrock, smackdown, sludgewave, round, echoedvoice, scald, waterpledge, bulldoze, workup, confide, poweruppunch, darkestlariat, highhorsepower, stompingtantrum, liquidation, bodypress, flipturn, terablast, chillingwater, hardpress","101, 101, 101, 1, 101, 31, 101, 1, 101, 15, 1, 63, 101, 101, 101, 101, 101, 101, 9, 52, 101, 101, 49, 101, 15, 101, 35, 101, 101, 101, 101, 101, 46, 101, 1, 20, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 61, 101, 101, 25, 101, 101, 101, 101, 39, 101, 16, 101, 69, 101, 101, 101, 101, 101, 101, 101, 25, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101"
261,poochyena,"sandattack, headbutt, tackle, takedown, doubleedge, leer, bite, roar, dig, toxic, doubleteam, rest, superfang, substitute, thief, spite, protect, scaryface, mudslap, endure, charm, swagger, attract, sleeptalk, return, frustration, irontail, hiddenpower, raindance, sunnyday, crunch, shadowball, rocksmash, uproar, torment, facade, taunt, helpinghand, yawn, endeavor, snatch, secretpower, hypervoice, odorsleuth, howl, naturalgift, payback, assurance, embargo, suckerpunch, darkpulse, nastyplot, thunderfang, icefang, firefang, captivate, foulplay, round, incinerate, retaliate, snarl, playrough, confide, psychicfangs, lashout, terablast, trailblaze","9, 28, 1, 33, 101, 13, 13, 21, 101, 101, 101, 101, 101, 101, 45, 101, 101, 29, 13, 101, 101, 25, 101, 101, 101, 101, 101, 101, 101, 101, 41, 101, 101, 101, 101, 101, 37, 101, 37, 101, 101, 101, 101, 17, 5, 101, 101, 29, 41, 49, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 46, 101, 101, 101, 101, 101"
262,mightyena,"sandattack, headbutt, tackle, bodyslam, takedown, doubleedge, leer, bite, roar, hyperbeam, strength, dig, toxic, doubleteam, rest, superfang, substitute, thief, spite, protect, scaryface, mudslap, endure, charm, swagger, attract, sleeptalk, return, frustration, irontail, hiddenpower, raindance, sunnyday, crunch, shadowball, rocksmash, uproar, torment, facade, taunt, helpinghand, yawn, endeavor, snatch, secretpower, hypervoice, odorsleuth, howl, naturalgift, payback, assurance, embargo, suckerpunch, darkpulse, gigaimpact, nastyplot, thunderfang, icefang, firefang, captivate, foulplay, round, incinerate, retaliate, snarl, playrough, confide, throatchop, psychicfangs, lashout, terablast, trailblaze","1, 32, 1, 101, 37, 101, 13, 1, 22, 101, 101, 101, 101, 101, 101, 101, 101, 52, 101, 101, 32, 13, 101, 101, 27, 101, 101, 101, 101, 101, 101, 101, 101, 47, 101, 101, 101, 101, 101, 42, 101, 44, 101, 101, 101, 101, 17, 1, 101, 101, 32, 47, 62, 101, 101, 101, 1, 1, 1, 101, 101, 101, 101, 101, 101, 56, 101, 101, 101, 101, 101, 101"
263,zigzagoon,"cut, sandattack, headbutt, tackle, bodyslam, takedown, doubleedge, tailwhip, pinmissile, growl, surf, icebeam, blizzard, thunderbolt, thunderwave, thunder, dig, toxic, doubleteam, swift, rest, substitute, thief, snore, flail, protect, bellydrum, icywind, endure, charm, swagger, attract, sleeptalk, return, frustration, irontail, hiddenpower, raindance, sunnyday, shadowball, rocksmash, whirlpool, facade, helpinghand, trick, secretpower, mudsport, hypervoice, odorsleuth, mudshot, covet, shockwave, waterpulse, naturalgift, fling, seedbomb, gunkshot, captivate, grassknot, chargebeam, honeclaws, round, echoedvoice, retaliate, bestow, workup, tailslap, confide, babydolleyes","101, 13, 9, 1, 101, 31, 36, 5, 25, 1, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 37, 101, 101, 101, 33, 101, 41, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 21, 101, 17, 101, 29, 101, 101, 101, 45, 101, 101, 101, 101, 101, 101, 101, 101, 101, 33, 101, 101, 101, 11"
264,linoone,"cut, sandattack, headbutt, tackle, bodyslam, takedown, doubleedge, tailwhip, pinmissile, growl, roar, surf, icebeam, blizzard, hyperbeam, strength, thunderbolt, thunderwave, thunder, dig, toxic, doubleteam, swift, furyswipes, rest, slash, substitute, thief, snore, flail, protect, bellydrum, icywind, endure, charm, swagger, attract, sleeptalk, return, frustration, irontail, hiddenpower, raindance, sunnyday, shadowball, rocksmash, whirlpool, facade, helpinghand, trick, secretpower, mudsport, hypervoice, odorsleuth, mudshot, covet, shockwave, waterpulse, naturalgift, fling, seedbomb, switcheroo, gigaimpact, shadowclaw, gunkshot, captivate, grassknot, chargebeam, honeclaws, round, echoedvoice, retaliate, bestow, workup, tailslap, rototiller, playrough, confide, babydolleyes, throatchop, stompingtantrum","101, 13, 1, 1, 101, 28, 35, 1, 1, 1, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 29, 47, 41, 101, 101, 101, 38, 101, 53, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 23, 101, 17, 101, 35, 101, 101, 101, 59, 101, 1, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 41, 101, 101, 1, 1, 101, 1, 101, 101"
265,wurmple,"tackle, poisonsting, stringshot, bugbite","1, 5, 1, 15"
266,silcoon,"harden","1"
267,beautifly,"gust, whirlwind, tackle, poisonsting, hyperbeam, absorb, megadrain, solarbeam, stunspore, stringshot, toxic, psychic, rage, doubleteam, harden, leechlife, flash, rest, substitute, thief, protect, gigadrain, endure, swagger, attract, sleeptalk, return, frustration, safeguard, morningsun, hiddenpower, sunnyday, shadowball, facade, secretpower, aircutter, silverwind, aerialace, roost, naturalgift, uturn, bugbuzz, energyball, gigaimpact, defog, captivate, bugbite, venoshock, quiverdance, round, acrobatics, strugglebug, confide, infestation","13, 27, 1, 1, 101, 1, 24, 101, 17, 1, 101, 101, 37, 101, 1, 25, 101, 101, 101, 101, 101, 38, 101, 101, 31, 101, 101, 101, 101, 20, 101, 101, 101, 101, 101, 20, 34, 101, 101, 101, 101, 41, 101, 101, 101, 101, 1, 101, 45, 101, 101, 101, 101, 101"
268,cascoon,"harden","1"
269,dustox,"gust, whirlwind, tackle, poisonsting, psybeam, hyperbeam, solarbeam, poisonpowder, stringshot, toxic, confusion, psychic, doubleteam, harden, lightscreen, leechlife, flash, rest, substitute, thief, protect, sludgebomb, gigadrain, endure, swagger, attract, sleeptalk, return, frustration, moonlight, hiddenpower, sunnyday, shadowball, facade, secretpower, silverwind, aerialace, roost, naturalgift, uturn, bugbuzz, energyball, gigaimpact, defog, captivate, bugbite, venoshock, quiverdance, round, acrobatics, strugglebug, confide, infestation","13, 27, 1, 1, 24, 101, 101, 15, 1, 38, 1, 101, 101, 1, 31, 25, 101, 101, 101, 101, 17, 101, 101, 101, 101, 101, 101, 101, 101, 20, 101, 101, 101, 101, 101, 34, 101, 101, 101, 101, 41, 101, 101, 101, 101, 1, 101, 45, 101, 101, 101, 101, 101"
270,lotad,"swordsdance, bodyslam, takedown, doubleedge, growl, mist, watergun, surf, icebeam, blizzard, bubblebeam, absorb, megadrain, leechseed, solarbeam, toxic, doubleteam, bubble, flash, rest, substitute, thief, snore, flail, protect, icywind, gigadrain, endure, swagger, attract, sleeptalk, return, frustration, hiddenpower, raindance, sunnyday, whirlpool, uproar, hail, facade, naturepower, secretpower, astonish, weatherball, muddywater, bulletseed, magicalleaf, waterpulse, naturalgift, seedbomb, energyball, zenheadbutt, captivate, grassknot, round, echoedvoice, scald, disarmingvoice, grassyterrain, confide, grassyglide, terablast, trailblaze, chillingwater","101, 101, 101, 101, 3, 21, 6, 101, 101, 101, 25, 7, 43, 24, 101, 101, 101, 9, 101, 101, 101, 101, 101, 16, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 31, 101, 101, 101, 101, 101, 13, 101, 1, 101, 101, 101, 101, 101, 15, 101, 43, 27, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101"
271,lombre,"megapunch, firepunch, icepunch, thunderpunch, swordsdance, megakick, bodyslam, takedown, doubleedge, growl, mist, watergun, hydropump, surf, icebeam, blizzard, bubblebeam, strength, absorb, megadrain, leechseed, solarbeam, toxic, doubleteam, metronome, waterfall, bubble, flash, furyswipes, rest, substitute, thief, snore, flail, protect, icywind, gigadrain, endure, swagger, attract, sleeptalk, return, frustration, encore, hiddenpower, raindance, sunnyday, rocksmash, whirlpool, fakeout, uproar, hail, facade, naturepower, brickbreak, knockoff, secretpower, dive, teeterdance, hypervoice, astonish, weatherball, muddywater, bulletseed, mudshot, magicalleaf, watersport, waterpulse, naturalgift, fling, seedbomb, drainpunch, energyball, zenheadbutt, captivate, grassknot, honeclaws, round, echoedvoice, scald, disarmingvoice, grassyterrain, confide, poweruppunch, grassyglide, terablast, trailblaze, chillingwater","101, 101, 101, 101, 101, 101, 101, 101, 101, 3, 9, 1, 49, 101, 101, 101, 25, 101, 7, 12, 30, 101, 101, 101, 101, 101, 9, 101, 25, 101, 101, 37, 101, 1, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 19, 43, 101, 101, 13, 101, 36, 101, 101, 1, 101, 1, 101, 101, 101, 101, 101, 31, 101, 101, 101, 101, 101, 101, 27, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101"
272,ludicolo,"megapunch, firepunch, icepunch, thunderpunch, swordsdance, megakick, bodyslam, takedown, doubleedge, growl, mist, watergun, hydropump, surf, icebeam, blizzard, bubblebeam, hyperbeam, strength, absorb, megadrain, solarbeam, toxic, doubleteam, metronome, waterfall, swift, amnesia, flash, furyswipes, rest, substitute, thief, snore, flail, protect, icywind, gigadrain, endure, swagger, attract, sleeptalk, return, frustration, encore, hiddenpower, raindance, sunnyday, rocksmash, whirlpool, fakeout, uproar, hail, facade, focuspunch, naturepower, brickbreak, knockoff, secretpower, dive, teeterdance, hypervoice, astonish, weatherball, muddywater, bulletseed, mudshot, magicalleaf, waterpulse, naturalgift, fling, seedbomb, drainpunch, focusblast, energyball, gigaimpact, zenheadbutt, rockclimb, leafstorm, captivate, grassknot, honeclaws, round, echoedvoice, scald, disarmingvoice, grassyterrain, confide, poweruppunch, grassyglide, terablast, icespinner, trailblaze, chillingwater","101, 101, 101, 101, 101, 101, 101, 101, 101, 1, 1, 1, 1, 101, 101, 101, 1, 101, 101, 1, 1, 101, 101, 101, 101, 101, 101, 101, 101, 1, 101, 101, 101, 101, 1, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 1, 101, 101, 101, 101, 1, 101, 1, 101, 101, 1, 101, 1, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 1, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101"
273,seedot,"swordsdance, headbutt, tackle, bodyslam, takedown, doubleedge, absorb, megadrain, growth, solarbeam, dig, toxic, doubleteam, harden, bide, selfdestruct, amnesia, flash, explosion, rest, substitute, snore, curse, spite, protect, gigadrain, endure, rollout, falseswipe, swagger, attract, sleeptalk, return, frustration, synthesis, hiddenpower, raindance, sunnyday, shadowball, rocksmash, beatup, facade, naturepower, endeavor, secretpower, astonish, bulletseed, magicalleaf, naturalgift, payback, powerswap, suckerpunch, seedbomb, energyball, nastyplot, leafstorm, captivate, grassknot, foulplay, round, retaliate, grassyterrain, confide, grassyglide, terablast, trailblaze","101, 21, 1, 101, 101, 101, 3, 15, 7, 101, 101, 101, 101, 3, 1, 101, 101, 101, 43, 101, 101, 101, 101, 101, 101, 101, 101, 12, 101, 101, 101, 101, 101, 101, 21, 101, 101, 31, 101, 101, 101, 101, 13, 101, 101, 6, 101, 101, 101, 18, 101, 30, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101"
274,nuzleaf,"pound, razorwind, swordsdance, cut, megakick, tackle, bodyslam, takedown, doubleedge, hyperbeam, lowkick, strength, absorb, megadrain, growth, razorleaf, solarbeam, dig, toxic, doubleteam, harden, selfdestruct, swift, amnesia, flash, explosion, rest, rockslide, substitute, thief, snore, curse, spite, protect, scaryface, feintattack, gigadrain, endure, rollout, falseswipe, swagger, attract, sleeptalk, return, frustration, synthesis, hiddenpower, raindance, sunnyday, psychup, shadowball, rocksmash, beatup, fakeout, uproar, torment, facade, naturepower, brickbreak, knockoff, endeavor, secretpower, astonish, weatherball, aircutter, rocktomb, extrasensory, bulletseed, magicalleaf, leafblade, naturalgift, payback, assurance, embargo, fling, powerswap, suckerpunch, darkpulse, seedbomb, energyball, nastyplot, leafstorm, captivate, grassknot, lowsweep, foulplay, round, retaliate, snarl, grassyterrain, confide, poweruppunch, solarblade, grassyglide, lashout, terablast, trailblaze, chillingwater","1, 37, 101, 101, 101, 1, 101, 101, 101, 101, 101, 101, 1, 18, 7, 1, 101, 101, 101, 101, 3, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 31, 101, 101, 12, 101, 43, 101, 101, 101, 101, 1, 101, 101, 101, 101, 101, 101, 101, 19, 101, 25, 101, 13, 101, 101, 101, 101, 1, 101, 1, 101, 49, 101, 101, 28, 101, 101, 101, 101, 101, 101, 50, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101"
275,shiftry,"pound, swordsdance, cut, whirlwind, megakick, tackle, bodyslam, takedown, doubleedge, hyperbeam, lowkick, strength, absorb, megadrain, growth, razorleaf, solarbeam, dig, toxic, screech, doubleteam, harden, confuseray, selfdestruct, swift, amnesia, flash, explosion, rest, rockslide, substitute, thief, snore, curse, reversal, spite, protect, scaryface, feintattack, icywind, gigadrain, endure, rollout, falseswipe, swagger, attract, sleeptalk, return, frustration, synthesis, hiddenpower, raindance, sunnyday, psychup, shadowball, rocksmash, beatup, fakeout, uproar, heatwave, torment, willowisp, facade, naturepower, taunt, revenge, brickbreak, knockoff, endeavor, imprison, secretpower, astonish, weatherball, aircutter, rocktomb, silverwind, extrasensory, bulletseed, aerialace, bounce, magicalleaf, leafblade, naturalgift, tailwind, payback, assurance, embargo, fling, powerswap, suckerpunch, toxicspikes, darkpulse, seedbomb, airslash, xscissor, vacuumwave, focusblast, energyball, gigaimpact, nastyplot, defog, leafstorm, captivate, grassknot, lowsweep, foulplay, round, hex, retaliate, leaftornado, hurricane, snarl, petalblizzard, grassyterrain, confide, poweruppunch, solarblade, throatchop, brutalswing, grassyglide, lashout, terablast, trailblaze, chillingwater, upperhand","1, 101, 101, 1, 101, 1, 101, 101, 101, 101, 101, 101, 1, 1, 1, 1, 101, 101, 101, 101, 101, 1, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 1, 101, 101, 101, 1, 101, 101, 101, 101, 101, 101, 1, 101, 101, 101, 101, 101, 101, 101, 1, 101, 101, 101, 101, 101, 1, 101, 101, 101, 101, 101, 101, 101, 1, 101, 1, 101, 101, 1, 101, 101, 101, 101, 1, 101, 101, 101, 101, 101, 101, 101, 1, 101, 101, 101, 101, 101, 101, 101, 101, 101, 1, 101, 49, 101, 101, 101, 101, 101, 101, 101, 19, 32, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101"
276,taillow,"wingattack, fly, growl, peck, toxic, agility, quickattack, doubleteam, focusenergy, rest, substitute, thief, reversal, protect, endure, swagger, steelwing, attract, sleeptalk, return, frustration, hiddenpower, raindance, sunnyday, facade, endeavor, secretpower, aerialace, roost, naturalgift, pluck, uturn, airslash, bravebird, defog, captivate, round, echoedvoice, quickguard, workup, confide","13, 101, 1, 1, 101, 43, 8, 19, 4, 101, 101, 101, 45, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 26, 101, 34, 101, 101, 101, 101, 53, 41, 101, 101, 101, 101, 25, 101, 101"
277,swellow,"wingattack, fly, growl, hyperbeam, peck, toxic, agility, quickattack, doubleteam, focusenergy, rest, substitute, thief, reversal, protect, endure, swagger, steelwing, attract, sleeptalk, return, frustration, hiddenpower, raindance, sunnyday, facade, endeavor, secretpower, aerialace, roost, naturalgift, pluck, uturn, airslash, bravebird, gigaimpact, defog, captivate, round, echoedvoice, quickguard, workup, confide","13, 101, 1, 101, 1, 101, 49, 1, 19, 1, 101, 101, 101, 57, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 28, 101, 38, 101, 101, 1, 101, 61, 1, 101, 101, 101, 101, 101, 27, 101, 101"
278,wingull,"wingattack, fly, takedown, growl, supersonic, mist, watergun, hydropump, surf, icebeam, blizzard, toxic, agility, quickattack, doubleteam, waterfall, swift, rest, substitute, thief, snore, protect, icywind, endure, swagger, steelwing, attract, sleeptalk, return, frustration, pursuit, hiddenpower, raindance, whirlpool, uproar, hail, facade, helpinghand, knockoff, secretpower, featherdance, aircutter, muddywater, aerialace, shockwave, waterpulse, roost, brine, naturalgift, pluck, tailwind, uturn, airslash, bravebird, defog, captivate, round, echoedvoice, scald, acrobatics, hurricane, confide, liquidation, dualwingbeat, terablast, snowscape, chillingwater","13, 101, 101, 1, 7, 21, 1, 101, 101, 101, 101, 101, 55, 31, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 43, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 33, 101, 101, 101, 101, 29, 101, 101, 101, 101, 101, 47, 101, 101, 101, 101, 101, 101, 101, 50, 101, 101, 101, 101, 101, 101"
279,pelipper,"wingattack, fly, bodyslam, takedown, growl, supersonic, mist, watergun, hydropump, surf, icebeam, blizzard, hyperbeam, toxic, agility, quickattack, doubleteam, waterfall, swift, rest, substitute, thief, snore, protect, icywind, endure, swagger, steelwing, attract, sleeptalk, return, frustration, hiddenpower, raindance, whirlpool, uproar, stockpile, spitup, swallow, hail, facade, helpinghand, knockoff, secretpower, featherdance, weatherball, aircutter, muddywater, aerialace, watersport, shockwave, waterpulse, roost, brine, naturalgift, pluck, tailwind, uturn, payback, fling, seedbomb, airslash, bravebird, gigaimpact, defog, gunkshot, captivate, soak, round, echoedvoice, scald, skydrop, acrobatics, hurricane, confide, liquidation, dualwingbeat, terablast, snowscape, chillingwater","1, 101, 101, 101, 1, 7, 21, 1, 61, 101, 101, 101, 101, 101, 1, 1, 101, 101, 101, 101, 101, 101, 101, 25, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 33, 47, 33, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 1, 101, 101, 31, 101, 101, 101, 50, 101, 24, 43, 101, 1, 101, 101, 101, 101, 101, 1, 101, 101, 101, 101, 101, 63, 101, 101, 101, 101, 101, 101"
